indicator_id,claim_id,indicator_type,indicator_value,score,review_status,claim_type,claim_amount,status,fraud_flag,claim_month,channel
1,4874,High Claim Ratio,0,5.5,Under Review,Theft,164958,Settled,0,2024-03,Aggregator
2,14621,Repeat Claimant,1,60.1,Confirmed,Accident,33814,Settled,0,2025-01,Online
3,18440,Rapid Settlement,1,24.8,Cleared,Natural Disaster,40315,Settled,0,2024-01,Online
4,12039,Policy-Claim Gap,1,24.0,Flagged,Theft,25920,Settled,0,2024-01,Aggregator
5,6519,Repeat Claimant,0,49.8,Under Review,Health,103618,Settled,0,2024-06,Partnership
6,16898,Amount Rounding,1,67.4,Confirmed,Accident,51864,Settled,0,2024-05,Partnership
7,112,Policy-Claim Gap,1,57.3,Flagged,Natural Disaster,35324,Settled,0,2024-01,Agent
8,19685,Repeat Claimant,1,3.3,Flagged,Health,198352,Settled,0,2025-09,Aggregator
9,2018,Policy-Claim Gap,0,74.1,Flagged,Accident,31759,Settled,0,2025-09,Agent
10,13774,Amount Rounding,0,28.7,Under Review,Fire,85807,Settled,0,2025-07,Agent
11,14198,Rapid Settlement,1,81.7,Flagged,Theft,162646,Settled,0,2025-01,Agent
12,10992,High Claim Ratio,1,90.2,Under Review,Health,17202,Settled,0,2025-07,Agent
13,19382,Policy-Claim Gap,0,58.0,Under Review,Fire,20570,Settled,0,2026-01,Partnership
14,5743,Policy-Claim Gap,1,89.1,Confirmed,Natural Disaster,17118,Settled,0,2025-07,Online
15,4088,Rapid Settlement,0,15.0,Flagged,Health,65619,Settled,0,2024-07,Online
16,8748,Policy-Claim Gap,1,97.9,Under Review,Health,203564,Settled,0,2026-05,Bancassurance
17,14795,Amount Rounding,0,64.1,Under Review,Theft,69894,Settled,0,2025-07,Aggregator
18,2004,High Claim Ratio,1,23.3,Flagged,Accident,68639,Rejected,0,2025-08,Agent
19,5493,High Claim Ratio,1,69.8,Under Review,Natural Disaster,48590,Settled,1,2025-02,Bancassurance
20,2895,Amount Rounding,1,7.3,Cleared,Health,42654,Pending,0,2025-05,Online
21,1888,Amount Rounding,0,30.6,Under Review,Health,26144,Settled,0,2024-03,Partnership
22,6974,High Claim Ratio,1,98.9,Confirmed,Natural Disaster,20438,Settled,0,2026-02,Partnership
23,17503,Amount Rounding,1,88.8,Under Review,Natural Disaster,135477,Pending,0,2024-11,Aggregator
24,9640,High Claim Ratio,1,90.2,Under Review,Health,81685,Settled,0,2024-06,Online
25,15308,Repeat Claimant,0,29.3,Confirmed,Accident,88238,Settled,0,2025-06,Online
26,2670,Rapid Settlement,1,16.5,Confirmed,Health,472446,Settled,0,2026-05,Online
27,12548,Amount Rounding,0,10.8,Flagged,Natural Disaster,18540,Settled,0,2025-04,Agent
28,6845,Amount Rounding,1,2.4,Cleared,Health,78770,Settled,0,2026-03,Aggregator
29,1918,Amount Rounding,1,47.9,Flagged,Theft,48670,Settled,0,2024-03,Partnership
30,16405,Amount Rounding,1,52.1,Flagged,Health,32969,Settled,0,2025-09,Bancassurance
31,8919,Rapid Settlement,1,68.6,Under Review,Natural Disaster,77851,Settled,0,2024-05,Online
32,15707,High Claim Ratio,1,1.7,Flagged,Fire,2669,Settled,0,2024-10,Aggregator
33,19924,High Claim Ratio,1,5.9,Confirmed,Accident,48536,Settled,0,2024-03,Online
34,15514,High Claim Ratio,1,48.8,Cleared,Accident,14086,Settled,0,2024-05,Agent
35,7228,High Claim Ratio,0,25.6,Confirmed,Accident,189945,Settled,0,2024-10,Aggregator
36,11118,Rapid Settlement,1,98.8,Flagged,Theft,53713,Settled,0,2024-12,Agent
37,13041,Amount Rounding,1,52.8,Flagged,Natural Disaster,49596,Settled,0,2024-05,Online
38,13032,Policy-Claim Gap,1,34.4,Under Review,Health,342263,Settled,0,2024-02,Agent
39,5262,Repeat Claimant,1,49.2,Flagged,Health,108963,Settled,0,2026-01,Aggregator
40,13529,Rapid Settlement,1,20.6,Flagged,Accident,71012,Settled,0,2026-04,Agent
41,18483,Repeat Claimant,0,98.6,Under Review,Health,115864,Settled,0,2024-06,Agent
42,12557,Repeat Claimant,1,67.0,Under Review,Health,90241,Settled,0,2026-03,Bancassurance
43,15084,Rapid Settlement,0,1.2,Flagged,Accident,68396,Settled,0,2025-11,Bancassurance
44,12048,Amount Rounding,0,32.8,Under Review,Fire,188843,Settled,0,2025-04,Online
45,8385,Amount Rounding,1,10.1,Flagged,Health,19184,Rejected,0,2024-01,Agent
46,4290,Repeat Claimant,0,15.5,Confirmed,Accident,8757,Settled,0,2024-10,Aggregator
47,6163,Rapid Settlement,1,76.3,Flagged,Theft,9898,Settled,0,2024-03,Partnership
48,6702,Policy-Claim Gap,1,72.8,Flagged,Health,185266,Settled,0,2024-06,Online
49,19359,Repeat Claimant,1,45.9,Flagged,Accident,21218,Settled,0,2024-01,Aggregator
50,4911,Amount Rounding,1,29.1,Flagged,Natural Disaster,103211,Settled,0,2025-01,Online
51,18638,Amount Rounding,1,25.9,Cleared,Health,261085,Pending,0,2024-07,Online
52,13597,Amount Rounding,1,76.8,Flagged,Accident,29932,Pending,0,2024-05,Online
53,6814,High Claim Ratio,0,14.8,Flagged,Health,20048,Settled,1,2025-07,Aggregator
54,17458,High Claim Ratio,1,64.2,Under Review,Accident,102003,Rejected,0,2024-09,Aggregator
55,7464,Policy-Claim Gap,1,11.8,Flagged,Health,9418,Rejected,0,2025-06,Online
56,3019,High Claim Ratio,1,98.9,Confirmed,Health,121631,Settled,0,2025-09,Agent
57,18502,Amount Rounding,0,2.8,Flagged,Natural Disaster,206127,Settled,0,2025-04,Aggregator
58,8033,Policy-Claim Gap,1,57.1,Under Review,Fire,5846,Pending,0,2025-06,Bancassurance
59,10384,High Claim Ratio,0,42.5,Under Review,Natural Disaster,23580,Settled,0,2025-12,Online
60,10216,Rapid Settlement,1,72.9,Flagged,Health,10539,Settled,0,2024-03,Aggregator
61,770,Rapid Settlement,0,71.2,Under Review,Theft,90111,Settled,0,2026-03,Bancassurance
62,1845,Policy-Claim Gap,1,19.3,Cleared,Accident,102926,Settled,0,2026-04,Aggregator
63,11365,Rapid Settlement,1,65.1,Cleared,Fire,19078,Rejected,0,2024-05,Agent
64,11481,Amount Rounding,1,8.8,Confirmed,Theft,5929,Settled,0,2025-02,Bancassurance
65,12533,Policy-Claim Gap,1,14.9,Flagged,Accident,95161,Settled,0,2024-08,Online
66,4791,High Claim Ratio,1,41.1,Cleared,Accident,110802,Settled,0,2025-07,Agent
67,10343,Amount Rounding,1,76.3,Cleared,Accident,60331,Rejected,0,2025-02,Online
68,8629,Amount Rounding,1,22.2,Under Review,Health,137806,Pending,0,2025-05,Aggregator
69,3294,Rapid Settlement,1,24.5,Under Review,Accident,41883,Rejected,0,2025-06,Online
70,9449,Rapid Settlement,1,15.2,Flagged,Fire,170868,Settled,0,2026-03,Online
71,8275,Repeat Claimant,1,52.1,Under Review,Accident,59301,Rejected,0,2024-09,Agent
72,19374,High Claim Ratio,1,92.4,Under Review,Accident,312696,Settled,0,2026-06,Agent
73,14166,Repeat Claimant,1,39.2,Flagged,Accident,94743,Settled,0,2024-10,Online
74,4021,Amount Rounding,0,96.3,Under Review,Health,48254,Settled,0,2025-06,Agent
75,19566,Policy-Claim Gap,1,81.1,Confirmed,Theft,115622,Settled,0,2025-02,Agent
76,14895,Amount Rounding,1,40.0,Confirmed,Accident,108957,Settled,0,2026-04,Agent
77,11227,Policy-Claim Gap,1,40.9,Flagged,Natural Disaster,88015,Rejected,0,2026-03,Agent
78,11858,Rapid Settlement,1,44.2,Flagged,Theft,27808,Rejected,1,2026-02,Partnership
79,5873,Rapid Settlement,1,87.3,Flagged,Accident,27041,Settled,0,2024-07,Online
80,1456,High Claim Ratio,0,83.4,Flagged,Health,49785,Settled,0,2024-01,Online
81,4793,Repeat Claimant,1,7.1,Cleared,Accident,16342,Settled,0,2025-03,Online
82,19237,Rapid Settlement,0,23.5,Under Review,Accident,185145,Pending,0,2025-11,Partnership
83,8933,High Claim Ratio,0,51.2,Flagged,Accident,17372,Pending,0,2026-05,Aggregator
84,14519,Rapid Settlement,0,39.6,Under Review,Accident,190420,Settled,1,2024-11,Online
85,11190,Rapid Settlement,1,33.1,Flagged,Natural Disaster,12259,Settled,0,2024-08,Partnership
86,3217,Repeat Claimant,0,97.0,Flagged,Accident,110681,Settled,0,2026-05,Aggregator
87,17872,Rapid Settlement,1,32.6,Flagged,Theft,74558,Settled,0,2025-07,Agent
88,4317,Repeat Claimant,1,47.2,Confirmed,Health,172232,Settled,0,2025-10,Aggregator
89,1523,Policy-Claim Gap,0,33.6,Under Review,Health,63443,Settled,0,2026-03,Online
90,9488,Amount Rounding,1,10.6,Under Review,Natural Disaster,26294,Settled,0,2025-03,Aggregator
91,13778,Rapid Settlement,1,19.4,Flagged,Theft,67758,Rejected,0,2024-12,Agent
92,4792,High Claim Ratio,0,5.3,Confirmed,Fire,64889,Settled,0,2026-01,Aggregator
93,11423,Policy-Claim Gap,1,74.2,Flagged,Theft,52335,Settled,0,2026-03,Agent
94,5361,High Claim Ratio,0,58.7,Cleared,Accident,25531,Settled,0,2025-08,Agent
95,7746,Amount Rounding,1,21.0,Flagged,Accident,29695,Settled,0,2025-03,Agent
96,163,Policy-Claim Gap,1,57.4,Cleared,Natural Disaster,29213,Settled,0,2025-01,Agent
97,13976,Repeat Claimant,0,64.2,Flagged,Theft,65748,Settled,0,2024-07,Agent
98,2233,Repeat Claimant,1,54.2,Cleared,Accident,17536,Settled,0,2025-03,Partnership
99,4030,Policy-Claim Gap,0,15.4,Under Review,Health,23244,Settled,0,2024-05,Agent
100,18632,Rapid Settlement,0,56.1,Under Review,Fire,84148,Settled,0,2024-02,Aggregator
101,1178,Rapid Settlement,1,34.8,Flagged,Accident,44115,Pending,0,2025-02,Online
102,16876,High Claim Ratio,1,88.3,Flagged,Natural Disaster,149589,Settled,0,2024-03,Partnership
103,8761,Repeat Claimant,1,8.1,Under Review,Fire,65581,Settled,0,2025-04,Agent
104,4545,Policy-Claim Gap,1,75.2,Flagged,Theft,27693,Settled,0,2025-11,Online
105,5961,Policy-Claim Gap,0,86.8,Flagged,Accident,60020,Settled,0,2024-12,Bancassurance
106,12151,High Claim Ratio,1,61.0,Confirmed,Accident,186902,Settled,0,2024-01,Aggregator
107,14726,Repeat Claimant,1,49.3,Flagged,Accident,91471,Settled,0,2025-09,Agent
108,4061,Amount Rounding,0,99.9,Flagged,Accident,65157,Settled,0,2025-04,Partnership
109,2220,Policy-Claim Gap,1,79.3,Cleared,Accident,68988,Settled,1,2025-05,Aggregator
110,15640,Policy-Claim Gap,1,48.4,Under Review,Accident,28747,Rejected,0,2024-03,Agent
111,10804,High Claim Ratio,0,28.7,Confirmed,Theft,25547,Settled,1,2024-06,Aggregator
112,11451,Amount Rounding,0,91.2,Confirmed,Fire,139277,Settled,0,2026-01,Agent
113,5236,High Claim Ratio,1,46.5,Under Review,Accident,23351,Pending,1,2025-08,Agent
114,862,Repeat Claimant,0,13.0,Confirmed,Accident,8682,Settled,0,2024-12,Agent
115,18391,Repeat Claimant,1,47.7,Flagged,Accident,143728,Settled,0,2025-12,Online
116,2318,Rapid Settlement,1,92.8,Flagged,Accident,14721,Settled,0,2026-01,Aggregator
117,11830,Policy-Claim Gap,1,0.4,Flagged,Accident,254974,Settled,0,2026-01,Bancassurance
118,19225,Policy-Claim Gap,1,54.8,Under Review,Accident,10504,Settled,0,2026-05,Aggregator
119,699,Rapid Settlement,0,29.8,Flagged,Accident,221858,Settled,0,2024-11,Bancassurance
120,14956,Amount Rounding,0,80.7,Confirmed,Theft,86990,Settled,0,2025-03,Online
121,17826,Policy-Claim Gap,0,90.5,Under Review,Health,7987,Pending,1,2025-08,Agent
122,18945,Rapid Settlement,1,23.3,Under Review,Theft,41973,Settled,0,2024-01,Agent
123,10719,Repeat Claimant,1,56.1,Confirmed,Theft,77964,Settled,0,2025-11,Bancassurance
124,1726,Repeat Claimant,0,34.0,Confirmed,Health,59435,Settled,0,2026-01,Bancassurance
125,4333,High Claim Ratio,1,69.6,Confirmed,Theft,261558,Settled,0,2025-10,Bancassurance
126,4279,Rapid Settlement,1,87.9,Under Review,Theft,60354,Settled,0,2026-02,Online
127,18168,Repeat Claimant,1,2.0,Flagged,Accident,55528,Pending,0,2024-02,Agent
128,2218,Rapid Settlement,1,49.0,Confirmed,Accident,40134,Settled,0,2025-03,Aggregator
129,7080,Repeat Claimant,1,91.0,Under Review,Theft,21533,Settled,0,2025-07,Aggregator
130,16106,Rapid Settlement,0,5.0,Cleared,Accident,42520,Settled,0,2024-01,Aggregator
131,11121,High Claim Ratio,0,23.1,Flagged,Theft,829510,Settled,0,2024-11,Online
132,14869,Rapid Settlement,0,43.9,Flagged,Theft,62528,Settled,1,2025-04,Agent
133,15774,Repeat Claimant,1,99.1,Cleared,Accident,48197,Settled,0,2024-03,Bancassurance
134,19049,Rapid Settlement,0,5.9,Under Review,Accident,45064,Settled,0,2025-09,Aggregator
135,13792,Repeat Claimant,0,23.3,Under Review,Health,45305,Settled,0,2025-09,Aggregator
136,6237,Rapid Settlement,1,39.2,Under Review,Health,37195,Settled,0,2025-09,Agent
137,6725,High Claim Ratio,1,90.5,Flagged,Health,18919,Settled,0,2024-03,Bancassurance
138,9616,High Claim Ratio,1,13.8,Under Review,Theft,35239,Pending,0,2026-02,Online
139,12998,Repeat Claimant,1,90.0,Under Review,Health,103822,Settled,0,2024-02,Agent
140,3031,Amount Rounding,1,97.2,Flagged,Accident,23380,Settled,0,2025-06,Online
141,1723,Amount Rounding,1,24.5,Under Review,Natural Disaster,33962,Settled,1,2025-06,Aggregator
142,5525,Amount Rounding,1,30.0,Flagged,Natural Disaster,133825,Settled,0,2024-01,Agent
143,18679,Repeat Claimant,1,20.0,Under Review,Accident,282037,Settled,0,2024-06,Online
144,12812,High Claim Ratio,0,32.7,Under Review,Theft,77202,Pending,0,2025-11,Online
145,4031,High Claim Ratio,0,25.9,Flagged,Natural Disaster,30370,Settled,0,2024-09,Bancassurance
146,3837,Amount Rounding,1,11.6,Flagged,Accident,133846,Settled,0,2024-12,Online
147,18065,Policy-Claim Gap,1,77.9,Flagged,Accident,20244,Settled,0,2025-11,Bancassurance
148,13337,Rapid Settlement,0,11.6,Flagged,Health,22093,Settled,0,2025-11,Aggregator
